neighbourhood_group_cleansed,price,number_of_reviews,review_scores_rating,availability_365
West Region,12800.0,0,,365
North-East Region,168.0,0,,90
West Region,70.0,0,,164
West Region,159.0,0,,180
North-East Region,210.0,0,,365
East Region,288.0,0,,365
West Region,350.0,0,,332
East Region,230.0,0,,164
North-East Region,75.0,0,,365
West Region,76.0,0,,365
East Region,220.0,0,,365
North-East Region,65.0,0,,268
East Region,71.0,0,,90
North-East Region,89.0,0,,365
West Region,135.0,0,,90
East Region,180.0,0,,352
North Region,78.0,3,5.0,302
East Region,240.0,0,,36
West Region,278.0,0,,365
North-East Region,99.0,0,,365
North-East Region,66.0,0,,365
East Region,94.0,0,,364
North-East Region,89.0,0,,365
North-East Region,95.0,0,,365
East Region,1600.0,0,,364
West Region,57.0,0,,365
