price,availability_365,room_type,review_scores_rating,neighbourhood_group_cleansed,cluster
43.0,361,Private room,5.0,Central Region,0
43.0,361,Private room,5.0,Central Region,0
65.0,90,Private room,5.0,Central Region,0
248.0,182,Entire home/apt,4.5,Central Region,3
49.0,361,Private room,5.0,Central Region,0
97.0,365,Entire home/apt,1.0,Central Region,3
69.0,361,Private room,5.0,Central Region,0
60.0,361,Private room,4.25,Central Region,0
60.0,361,Private room,4.0,Central Region,0
182.0,184,Entire home/apt,4.86,Central Region,3
192.0,180,Entire home/apt,4.95,Central Region,3
182.0,184,Entire home/apt,4.97,Central Region,3
182.0,184,Entire home/apt,4.89,Central Region,3
182.0,184,Entire home/apt,4.93,Central Region,3
129.0,365,Private room,4.64,Central Region,0
193.0,359,Hotel room,4.22,Central Region,3
298.0,131,Entire home/apt,4.93,Central Region,3
155.0,365,Entire home/apt,4.33,East Region,0
45.0,363,Hotel room,4.64,Central Region,3
45.0,364,Hotel room,4.63,Central Region,3
53.0,180,Private room,5.0,West Region,0
143.0,188,Hotel room,4.73,Central Region,3
176.0,359,Hotel room,4.49,Central Region,3
60.0,364,Private room,4.75,Central Region,0
193.0,341,Hotel room,4.47,Central Region,3
41.0,365,Private room,5.0,West Region,0
1511.0,353,Entire home/apt,4.78,Central Region,3
49.0,361,Private room,4.0,Central Region,0
49.0,330,Private room,5.0,Central Region,0
88.0,288,Private room,4.8,Central Region,0
69.0,361,Private room,4.0,Central Region,0
49.0,330,Private room,5.0,Central Region,0
49.0,330,Private room,5.0,Central Region,0
196.0,309,Entire home/apt,4.8,Central Region,3
219.0,296,Entire home/apt,4.84,Central Region,3
233.0,258,Entire home/apt,4.81,Central Region,3
44.0,363,Private room,4.67,Central Region,0
49.0,330,Private room,5.0,Central Region,0
69.0,361,Private room,4.0,Central Region,0
69.0,361,Private room,5.0,Central Region,0
80.0,222,Private room,4.8,West Region,0
38.0,178,Private room,4.67,East Region,0
69.0,361,Private room,5.0,Central Region,0
83.0,296,Private room,1.0,Central Region,0
55.0,361,Private room,4.79,West Region,0
69.0,361,Private room,5.0,Central Region,0
59.0,361,Private room,5.0,Central Region,0
95.0,90,Private room,4.81,Central Region,0
49.0,330,Private room,3.5,Central Region,0
49.0,361,Private room,4.5,Central Region,0
49.0,361,Private room,4.0,Central Region,0
193.0,359,Hotel room,4.67,Central Region,3
235.0,0,Private room,4.56,West Region,0
254.0,328,Private room,4.33,Central Region,0
59.0,361,Private room,4.0,Central Region,0
193.0,359,Hotel room,4.58,Central Region,3
62.0,364,Private room,4.89,Central Region,0
220.0,244,Entire home/apt,4.93,Central Region,3
1209.0,335,Entire home/apt,4.85,Central Region,3
242.0,321,Private room,4.67,Central Region,0
285.0,121,Entire home/apt,4.83,Central Region,3
612.0,174,Entire home/apt,5.0,Central Region,3
381.0,316,Private room,5.0,Central Region,0
492.0,182,Entire home/apt,4.8,Central Region,3
464.0,175,Entire home/apt,4.63,Central Region,3
42.0,87,Private room,4.43,Central Region,0
300.0,177,Entire home/apt,4.64,Central Region,3
69.0,361,Private room,4.0,Central Region,0
250.0,181,Entire home/apt,5.0,Central Region,3
123.0,90,Private room,4.83,Central Region,0
802.0,336,Entire home/apt,4.57,Central Region,3
49.0,330,Private room,4.6,Central Region,0
127.0,180,Private room,5.0,Central Region,0
136.0,90,Private room,4.5,Central Region,0
175.0,359,Entire home/apt,4.74,Central Region,3
79.0,361,Private room,5.0,Central Region,0
89.0,364,Private room,4.5,Central Region,0
80.0,364,Private room,4.5,Central Region,0
95.0,365,Entire home/apt,4.8,Central Region,3
193.0,359,Hotel room,4.45,Central Region,3
193.0,359,Hotel room,4.0,Central Region,3
193.0,359,Hotel room,4.0,Central Region,3
110.0,352,Private room,5.0,Central Region,0
65.0,90,Private room,4.72,Central Region,0
242.0,352,Private room,4.5,Central Region,0
129.0,365,Private room,4.93,Central Region,0
42.0,22,Private room,4.5,Central Region,0
242.0,344,Private room,5.0,Central Region,0
85.0,362,Private room,4.33,Central Region,0
62.0,365,Private room,4.29,Central Region,0
242.0,318,Private room,4.0,Central Region,0
62.0,204,Private room,4.5,Central Region,0
70.0,179,Private room,4.59,Central Region,0
304.0,320,Private room,4.75,Central Region,0
461.0,364,Entire home/apt,4.5,West Region,3
69.0,361,Private room,3.0,Central Region,0
69.0,361,Private room,3.5,Central Region,0
69.0,361,Private room,5.0,Central Region,0
714.0,267,Entire home/apt,4.72,Central Region,3
193.0,359,Hotel room,4.33,Central Region,3
65.0,269,Private room,4.4,Central Region,0
62.0,365,Private room,5.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
179.0,307,Private room,4.4,Central Region,0
59.0,361,Private room,4.2,Central Region,0
69.0,361,Private room,5.0,Central Region,0
90.0,263,Private room,4.0,East Region,0
100.0,319,Private room,4.83,East Region,0
100.0,309,Private room,4.67,East Region,0
69.0,361,Private room,5.0,Central Region,0
42.0,309,Private room,4.4,Central Region,0
69.0,361,Private room,4.0,Central Region,0
99.0,303,Private room,5.0,East Region,0
290.0,364,Entire home/apt,4.0,Central Region,3
69.0,361,Private room,4.0,Central Region,0
79.0,361,Private room,5.0,Central Region,0
347.0,364,Entire home/apt,4.0,Central Region,3
49.0,330,Private room,4.0,Central Region,0
261.0,364,Entire home/apt,5.0,Central Region,3
79.0,361,Private room,4.0,Central Region,0
310.0,364,Entire home/apt,5.0,Central Region,3
118.0,365,Private room,3.5,West Region,0
69.0,330,Private room,4.0,Central Region,0
49.0,330,Private room,5.0,Central Region,0
43.0,330,Private room,5.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
69.0,361,Private room,3.0,Central Region,0
109.0,234,Private room,4.89,Central Region,0
49.0,330,Private room,3.5,Central Region,0
1031.0,358,Entire home/apt,4.71,Central Region,3
69.0,361,Private room,5.0,Central Region,0
67.0,361,Private room,4.33,Central Region,0
49.0,361,Private room,5.0,Central Region,0
80.0,179,Private room,5.0,East Region,0
80.0,179,Private room,5.0,East Region,0
80.0,364,Private room,5.0,East Region,0
310.0,364,Entire home/apt,5.0,Central Region,3
59.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
240.0,364,Entire home/apt,5.0,West Region,3
45.0,180,Private room,4.58,Central Region,0
48.0,361,Private room,4.0,Central Region,0
249.0,167,Hotel room,4.5,Central Region,3
222.0,319,Private room,4.0,Central Region,0
79.0,361,Private room,5.0,Central Region,0
69.0,361,Private room,5.0,Central Region,0
99.0,360,Shared room,4.86,Central Region,3
45.0,365,Private room,4.8,Central Region,0
80.0,364,Private room,4.98,West Region,0
43.0,361,Private room,4.0,Central Region,0
50.0,364,Hotel room,4.62,Central Region,3
189.0,363,Hotel room,4.21,Central Region,3
2621.0,364,Entire home/apt,4.0,Central Region,3
992.0,364,Entire home/apt,5.0,Central Region,3
2479.0,364,Entire home/apt,5.0,Central Region,3
162.0,350,Entire home/apt,4.92,Central Region,3
182.0,352,Entire home/apt,4.83,Central Region,3
781.0,262,Entire home/apt,4.75,Central Region,3
221.0,351,Entire home/apt,4.83,Central Region,3
235.0,315,Entire home/apt,4.89,Central Region,3
259.0,350,Entire home/apt,4.83,Central Region,3
60.0,361,Private room,4.0,Central Region,0
79.0,361,Private room,5.0,Central Region,0
39.0,330,Private room,5.0,Central Region,0
79.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
125.0,90,Entire home/apt,5.0,Central Region,3
38.0,330,Private room,5.0,Central Region,0
79.0,361,Private room,5.0,Central Region,0
59.0,361,Private room,3.0,Central Region,0
69.0,361,Private room,5.0,Central Region,0
49.0,330,Private room,5.0,Central Region,0
59.0,361,Private room,5.0,Central Region,0
60.0,361,Private room,5.0,Central Region,0
79.0,361,Private room,5.0,Central Region,0
307.0,90,Entire home/apt,5.0,Central Region,3
151.0,363,Entire home/apt,4.93,Central Region,3
59.0,361,Private room,4.0,Central Region,0
49.0,330,Private room,4.0,Central Region,0
49.0,330,Private room,5.0,Central Region,0
59.0,361,Private room,5.0,Central Region,0
147.0,342,Shared room,4.5,Central Region,3
